Month,Day,Low,High,NormalLow,NormalHigh,RecordLow,LowYr,RecordHigh,HiYear,Precip,RecordPrecip,PrecipYr,date,dateInYear,Record,RecordText,RecordP,CulmPrec
5,20,50,64,51,67,45,1982,93,1988,0,1.53,1957,2011-05-20,140,FALSE,,FALSE,0.39
5,21,52,62,51,67,45,1974,92,2000,0,0.24,2006,2011-05-21,141,FALSE,,FALSE,0.39
5,22,51,61,51,67,44,1952,83,1954,0,0.2,1958,2011-05-22,142,FALSE,,FALSE,0.39
5,23,50,64,51,67,46,1954,88,2000,0,0.21,1997,2011-05-23,143,FALSE,,FALSE,0.39
5,24,49,62,51,68,45,1953,91,1982,0,0.14,1960,2011-05-24,144,FALSE,,FALSE,0.39
5,25,49,62,51,68,45,1967,87,1951,0.01,0.12,1946,2011-05-25,145,FALSE,,FALSE,0.4
5,26,50,64,51,68,42,1953,89,1896,0,0.12,1947,2011-05-26,146,FALSE,,FALSE,0.4
5,27,53,63,51,68,42,1954,97,1984,0,0.92,1990,2011-05-27,147,FALSE,,FALSE,0.4
5,28,50,64,52,68,45,1955,92,1984,0,0.41,1998,2011-05-28,148,FALSE,,FALSE,0.4
5,29,48,65,52,68,45,1951,94,1975,0,0.16,1998,2011-05-29,149,FALSE,,FALSE,0.4
5,30,50,62,52,68,46,1974,95,2001,0,0.28,1990,2011-05-30,150,FALSE,,FALSE,0.4
5,31,54,60,52,68,46,1962,91,2001,0.07,0.11,1947,2011-05-31,151,FALSE,,FALSE,0.47000000000000003
6,1,51,62,52,68,43,1954,91,1989,0.15,0.15,2011,2011-06-01,152,FALSE,,TRUE,0.15
6,2,51,63,52,69,43,1954,91,1989,0,0.1,1961,2011-06-02,153,FALSE,,FALSE,0.15
6,3,50,61,52,69,45,1966,87,1960,0.16,0.18,1999,2011-06-03,154,FALSE,,FALSE,0.31
6,4,55,66,52,69,45,1962,92,1955,0.66,0.66,2011,2011-06-04,155,FALSE,,TRUE,0.97
6,5,55,66,52,69,46,1962,89,1972,0,0.02,1994,2011-06-05,156,FALSE,,FALSE,0.97
